consec	entered	SN	date	ID	geno	tment	sm	no_data_sheet	Obs	HHMMSS	FTime	EBal.	Photo	Cond	Ci	FCnt	DCnt	Fo	Fm	Fo.	Fm.	Fs	Fv.Fm	Fv..Fm.	PhiPS2	Adark	RedAbs	BlueAbs	X.Blue	LeafAbs	PhiCO2	qP	qN	NPQ	ParIn.Fs	PS2.1	ETR	Trmmol	VpdL	CTleaf	Area	BLC_1	StmRat	BLCond	Tair	Tleaf	TBlk	CO2R	CO2S	H2OR	H2OS	RH_R	RH_S	Flow	PARi	PARgrp	genotmentPARgrp	PARo	Press	CsMch	HsMch	StableF	BLCslope	BLCoffst	f_parin	f_parout	alphaK	Status	fda	Trans	Tair_K	Twall_K	R.W.m2.	Tl.Ta	SVTleaf	h2o_i	h20diff	CTair	SVTair	CndTotal	vp_kPa	VpdA	CndCO2	Ci_Pa	Ci.Ca	RHsfc	C2sfc	AHs.Cs	Fv	PARabs	Fv.	qP_Fo	qN_Fo
544	6896	PSC-2784	120814	1845	tur	co	19	NA	139	17:45:40	4034.5	0	21.97001567	0.34015512	262.9367405	51	49	546.9179688	2516.872803	500.3950195	908.3546143	678.5480957	0.782699401	0.449119307	0.252992075	-1	0.87	0.92	10.11830902	0.875059155	0.016407346	0.563307057	0.797687037	1.770804225	1599.873169	0.5	177.0923858	8.33672719	1.939873972	21.87758255	2	4.644859791	1	9.289719582	20.55948639	21.87758255	19.35416985	399.3555908	382.5711365	3.381678581	8.893848419	10.86113167	28.56488609	299.7941589	1599.873169	1600	turco1600	218.9355316	78.01872253	42.56741333	-0.141066283	1	-1.355140209	7.355140209	1	0	0.159999996	111115	1.498970795	0.008336727	295.0275826	293.7094864	255.9797013	-0.50501393	2.633760664	33.75805932	24.86421091	21.21853447	2.529649374	0.328139854	0.693886692	1.835762682	0.206134089	20.5139886	0.687288495	27.39925021	379.3784113	0.015867059	1969.954834	1399.983663	407.9595947	0.635814109	0.816525415
545	6903	PSC-2784	120814	1845	tur	co	19	NA	146	17:49:06	4251	0	23.19428922	0.369784895	265.2338799	51	49	546.9179688	2516.872803	500.3950195	908.3546143	678.5480957	0.782699401	0.449119307	0.252992075	-1	0.87	0.92	10.07957077	0.875039785	0.015368775	0.563307057	0.797687037	1.770804225	1599.873169	0.5	177.0884659	8.869494093	1.904010074	21.83621025	2	4.644859791	1	9.289719582	20.17215157	21.83621025	18.76486778	399.5848083	381.8522034	3.40637064	9.268481255	11.20513821	30.48834801	299.7994385	1799.060669	1800	turco1800	207.6822052	78.01777649	42.50274658	-0.145455092	0.5	-1.355140209	7.355140209	1	0	0.159999996	111115	1.498997192	0.008869494	294.9862103	293.3221516	287.8497006	-0.486560822	2.627116373	33.67330487	24.40482362	21.00418091	2.496573249	0.3556288	0.723106299	1.77346695	0.223497916	20.69295756	0.69459827	28.7698369	378.4815644	0.01763087	1969.954834	1574.249662	407.9595947	0.635814109	0.816525415
546	6913	PSC-2784	120814	1845	tur	co	19	NA	156	17:53:54	4529.5	0	23.84376777	0.394373394	268.0205807	53	51	546.9179688	2516.872803	494.8930664	851.6938477	681.013916	0.782699401	0.418930796	0.200400569	-1	0.87	0.92	10.0219059	0.875010953	0.014199885	0.47836199	0.823538894	1.95513794	1999.489624	0.5	175.3079449	9.363651061	1.889142477	21.90600395	2	4.644859791	1	9.289719582	20.18968582	21.90600395	18.75848961	399.3355103	381.0496521	3.416293859	9.602619171	11.22584343	31.55392838	299.8140259	1999.489624	2000	turco2000	198.1414795	78.01945496	42.41732788	-0.152186126	1	-1.355140209	7.355140209	1	0	0.159999996	111115	1.499070129	0.009363651	295.056004	293.3396858	319.9183327	-0.447737834	2.638333591	33.81635507	24.2137359	21.04784489	2.503279991	0.378312997	0.749191114	1.754088877	0.237837939	20.91081962	0.703374427	29.78808496	377.5846297	0.018810622	1969.954834	1749.575321	356.8007813	0.560017847	0.845287885
694	9279	PSC-2959	120814	1872	tur	co	24	1	89	17:32:41	2588	0	-4.553723097	0.118010566	445.9292912	47	46	447.4626465	2380.058105	533.0681152	2221.846436	570.1132813	0.811995075	0.760078777	0.743405632	-1	0.87	0.92	0	0.87	-2.432356222	0.978063926	0.085659192	0.071207293	51.31132507	0.5	16.59313071	3.329298205	2.181443687	22.03788948	2	4.644859791	1	9.289719582	23.03645706	22.03788948	21.87473297	400.7432861	402.8835144	3.932376146	6.136871815	10.8431139	16.92177963	300.192627	1.679334283	0	turco0	0.699368417	77.92259979	-3.408611298	0.270380795	0.75	-1.355140209	7.355140209	1	0	0.159999996	111115	1.500963135	0.003329298	295.1878895	296.1864571	0.268693479	-0.54208552	2.659644693	34.1318783	27.99500649	22.53717327	2.741693999	0.116530241	0.478201006	2.263492993	0.072962968	34.74796969	1.106844225	17.34452713	403.5452702	-0.001957207	1932.595459	1.461020826	1688.77832	0.930877054	0.081864867
693	9268	PSC-2959	120814	1872	tur	co	24	1	78	17:27:37	2283	0	-1.008366443	0.130478216	394.9309666	46	45	447.4626465	2380.058105	529.651123	2122.418213	587.1738281	0.811995075	0.750449219	0.723346782	-1	0.87	0.92	5.668732166	0.872834366	-0.000187025	0.963885049	0.139234177	0.121389786	100.701889	0.5	31.78966951	3.65290888	2.167283089	22.05726051	2	4.644859791	1	9.289719582	23.06035614	22.05726051	21.88900948	400.7481995	400.4454041	3.940580845	6.359137058	10.84968472	17.5087471	300.1525879	51.2517662	50	turco50	0.707044721	77.92006683	-3.108959198	0.271433175	0.75	-1.355140209	7.355140209	1	0	0.159999996	111115	1.500762939	0.003652909	295.2072605	296.2103561	8.200282409	-0.567244688	2.662787473	34.17332122	27.81418416	22.55880833	2.745298893	0.128670975	0.495504385	2.249794509	0.080579799	30.77304731	0.98622924	18.07552978	400.5919418	-0.000454996	1932.595459	44.73430287	1592.76709	0.916588127	0.133312893
692	9258	PSC-2959	120814	1872	tur	co	24	1	68	17:23:03	2009	0	2.269252341	0.184167444	363.6588458	45	44	447.4626465	2380.058105	521.2607422	1979.767822	614.4729004	0.811995075	0.736706125	0.689623756	-1	0.87	0.92	8.454304695	0.874227152	0.037149682	0.936090706	0.21534907	0.202190519	200.5749512	0.5	60.46209678	4.39832291	1.862091374	20.3501358	2	4.644859791	1	9.289719582	22.24620819	20.3501358	20.18586349	401.1972046	398.517334	3.966894865	6.877312183	11.47546959	19.8947506	300.1682434	100.6628113	100	turco100	0.509723127	77.9210968	-3.754650116	0.268942654	0.25	-1.355140209	7.355140209	1	0	0.159999996	111115	1.500841217	0.004398323	293.5001358	295.3962082	16.10604944	-0.628910036	2.397979082	30.77445237	23.89714019	21.298172	2.542035358	0.180587324	0.535887708	2.00614765	0.11318336	28.33669613	0.912529556	22.39603387	398.1875618	0.00127634	1932.595459	88.00216285	1458.50708	0.891007185	0.20712575
691	9248	PSC-2959	120814	1872	tur	co	24	1	58	17:18:27	1734	0	7.263628644	0.224094242	326.2131742	44	43	447.4626465	2380.058105	505.0871582	1775.98999	637.6494141	0.811995075	0.715602475	0.640961144	-1	0.87	0.92	8.662518501	0.874331259	0.047158762	0.895694421	0.322174653	0.34013036	398.2886658	0.5	111.6029464	5.870792982	2.046668839	22.04607391	2	4.644859791	1	9.289719582	23.05698013	22.04607391	21.89487457	400.9461975	394.5639038	4.003339767	7.883674622	11.02485466	21.7109642	300.206543	200.4160004	200	turco200	0.525056839	77.92093658	-3.317577362	0.270993054	0.25	-1.355140209	7.355140209	1	0	0.159999996	111115	1.501032715	0.005870793	295.1960739	296.2069801	32.06655934	-0.862872706	2.660972149	34.14964278	26.26596816	22.55152702	2.744085199	0.218815788	0.61430331	2.129781889	0.137224507	25.41883606	0.826768924	23.2850683	393.5083393	0.004298107	1932.595459	175.229974	1270.902832	0.856843919	0.31256832
690	9242	PSC-2959	120814	1872	tur	co	24	1	52	17:15:55	1581.5	0	14.22661256	0.236799701	276.8448326	43	42	447.4626465	2380.058105	481.7749023	1471.573975	631.8254395	0.811995075	0.672612515	0.570646498	-1	0.87	0.92	9.303924561	0.874651962	0.043715023	0.848403033	0.478581978	0.617355394	597.7460327	0.5	149.172627	6.225261199	2.055798462	22.22786331	2	4.644859791	1	9.289719582	23.07542801	22.22786331	22.06577301	400.47995	389.386322	4.033249855	8.147089958	11.09448051	22.41064453	300.1839294	398.2330627	400	turco400	0.697167873	77.91843414	-3.545055389	0.270932496	0.75	-1.355140209	7.355140209	1	0	0.159999996	111115	1.500919647	0.006225261	295.3778633	296.225428	63.71728861	-0.805934724	2.690606954	34.53107065	26.38398069	22.65164566	2.760814836	0.230913596	0.634808492	2.126006344	0.144838531	21.57131586	0.710977292	23.86814987	387.3188832	0.008767012	1932.595459	348.3153298	989.7990723	0.819977782	0.470084997
689	9231	PSC-2959	120814	1872	tur	co	24	1	41	17:10:38	1265	0	19.68242563	0.260084117	248.5093872	42	41	447.4626465	2380.058105	460.2648926	1190.424072	594.265625	0.811995075	0.613360563	0.50079502	-1	0.87	0.92	9.491709709	0.874745855	0.03954054	0.816477371	0.619667798	0.999336338	800.1147461	0.5	175.2524805	6.675290095	2.011748224	22.14461136	2	4.644859791	1	9.289719582	22.84387398	22.14461136	21.98304749	400.6612549	385.832489	4.128515244	8.537775993	11.51688862	23.81694412	300.1998901	597.9666748	600	turco600	0.532736123	77.91860199	-3.92911911	0.270760834	0.5	-1.355140209	7.355140209	1	0	0.159999996	111115	1.500999451	0.00667529	295.2946114	295.993874	95.67466583	-0.764160088	2.676999793	34.35636324	25.81858725	22.49424267	2.734553044	0.253000856	0.66525157	2.069301475	0.158747023	19.36350403	0.644086214	25.29509338	382.9722009	0.013000129	1932.595459	523.0688701	730.1591797	0.802408344	0.615562883
688	9221	PSC-2959	120814	1872	tur	co	24	1	31	17:05:55	981	0	20.76478241	0.272523028	247.822059	41	40	447.4626465	2380.058105	450.479248	1009.716919	581.6594238	0.811995075	0.553855898	0.423938123	-1	0.87	0.92	9.639613152	0.874819807	0.031106073	0.765430366	0.710176307	1.357153833	1000.790833	0.5	185.5813811	6.563845547	1.891915073	21.39800644	2	4.644859791	1	9.289719582	22.96467209	21.39800644	21.24093819	400.8231506	385.3013916	4.206904411	8.543330193	11.65067863	23.66005516	300.1443481	799.8168335	800	turco800	0.576593518	77.92306519	-3.949596405	0.268275559	0.5	-1.355140209	7.355140209	1	0	0.159999996	111115	1.500721741	0.006563846	294.5480064	296.1146721	127.9706905	-0.576977851	2.557637548	32.82259934	24.27926915	22.18133926	2.682995363	0.264756147	0.665722475	2.017272888	0.166153299	19.31105446	0.643190148	26.61924508	382.2838133	0.014458965	1932.595459	699.6956076	559.2376709	0.761323686	0.709067788
